ID_Produktu	Nazwa_produktu	Grupa_towarowa	Producent	Cena_brutto
496	Z60tUM3H4PB	Notebooki	BestL	6903,98
497	TM3022	Notebooki	Beca	6909,68
498	tc4400EY268EA	Notebooki	Streak	6913,34
499	TECRAM7-132	Notebooki	TSB	7172,38
500	PORTEGEM400-139	Notebooki	TSB	7360,26
501	QOSMIOF30-140	Notebooki	TSB	7367,58
502	T43UC3F3PB	Notebooki	BestL	7412,32
503	F30-112T2500/1024/100/15,4/DVD-RW/XPMC	Notebooki	TSB	7428,58
504	S6F-3011P	Notebooki	Corner	7603,44
505	VAIOVGN-SZ1M/B	Notebooki	ADDR	7747,65
506	R1F-K006T	Notebooki	Corner	7762,04
507	PRO8100IWS	Notebooki	MXT	8137,4
508	VAIOVGN-SZ1HP/B	Notebooki	ADDR	8229,72
509	SATP100-222	Notebooki	TSB	8262,24
510	SATP100-324	Notebooki	TSB	8351,72
511	T60UT0F4PB	Notebooki	BestL	8416,78
512	AS9513	Notebooki	Beca	8587,58
513	VAIOVGN-TX2HP/W	Notebooki	ADDR	8693,32
514	AS5685	Notebooki	Beca	8760,42
515	AS9813	Notebooki	Beca	8760,42
516	W2JC-U028P	Notebooki	Corner	8823,44
517	VAIOVGN-TX3HP/W	Notebooki	ADDR	9012,84
518	VAIOVGN-AR11M	Notebooki	ADDR	9147,56
519	AS9524	Notebooki	Beca	9278,5
520	AS5675	Notebooki	Beca	9376,52
521	SM400PASAP	Monitory LCD 40"	SAEP	9696,56
522	Z61pUA13NPB	Notebooki	BestL	9775,04
523	QOSMIOG30-150	Notebooki	TSB	10075,98
524	VX1-5E002P	Notebooki	Corner	10165,44
525	FERRARI1005	Notebooki	Beca	10265,48
526	VX1-5E001P	Notebooki	Corner	10287,44
527	AS9515	Notebooki	Beca	10363,9
528	AS9815	Notebooki	Beca	10363,9
529	VX1-5E008P	Notebooki	Corner	10450,12
530	SM400PNASAP	Monitory LCD 40"	SAEP	10908,42
531	VAIOVGN-TX3XP/B	Notebooki	ADDR	11034,08
532	LCD4010	Monitory LCD 40"	Clone	11133,72
533	FERRARI5005	Notebooki	Beca	11844,58
534	QUOSMIOG30-153	Notebooki	TSB	12076,78
535	TM8215	Notebooki	Beca	12831,56
536	SM460PASAP	Monitory LCD 46"	SAEP	14544,02
